agent_no,node_name,node_time
0,W6-B,0
0,W6-5,18
0,W6-5,18
0,W6-5,258
0,W6-5,258
0,W6-A,300
1,W6-B,360
1,W6-5,378
1,W6-5,378
1,W6-5,618
1,W6-5,618
1,W6-A,660
2,W6-A,1560
2,W6-2,1581
2,W6-2,1581
2,W6-2,1821
2,W6-2,1821
2,W6-B,1860
3,W6-A,1920
3,W6-2,1941
3,W6-2,1941
3,W6-2,2181
3,W6-2,2181
3,W6-B,2220
4,W6-A,2100
4,W6-1,2121
4,W6-1,2121
4,W6-1,2361
4,W6-1,2361
4,W6-B,2400
5,W6-A,2340
5,W6-2,2361
5,W6-2,2361
5,W6-2,2601
5,W6-2,2601
5,W6-B,2640
0,W7-B,780
0,W7-5,798
0,W7-5,798
0,W7-5,1038
0,W7-5,1038
0,W7-A,1080
1,W7-B,1140
1,W7-5,1158
1,W7-5,1158
1,W7-5,1398
1,W7-5,1398
1,W7-A,1440
2,W7-A,780
2,W7-4,798
2,W7-4,798
2,W7-4,1023
2,W7-4,1023
2,W7-B,1080
3,W7-A,1140
3,W7-4,1158
3,W7-4,1158
3,W7-4,1383
3,W7-4,1383
3,W7-B,1440
4,W7-A,1320
4,W7-1,1335
4,W7-1,1335
4,W7-1,1575
4,W7-1,1575
4,W7-B,1620
5,W7-A,1560
5,W7-4,1578
5,W7-4,1578
5,W7-4,1803
5,W7-4,1803
5,W7-B,1860
0,W8-B,1560
0,W8-5,1569
0,W8-5,1569
0,W8-5,1809
0,W8-5,1809
0,W8-A,1860
1,W8-B,1920
1,W8-5,1929
1,W8-5,1929
1,W8-5,2169
1,W8-5,2169
1,W8-A,2220
2,W8-A,0
2,W8-II,9
2,W8-II,9
2,W8-II,249
2,W8-II,249
2,W8-B,300
3,W8-A,360
3,W8-II,369
3,W8-II,369
3,W8-II,609
3,W8-II,609
3,W8-B,660
4,W8-A,540
4,W8-1,549
4,W8-1,549
4,W8-1,789
4,W8-1,789
4,W8-B,840
5,W8-A,780
5,W8-II,789
5,W8-II,789
5,W8-II,1029
5,W8-II,1029
5,W8-B,1080
