node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1500,,268.000000,2.000000,,,0,"POINT (268.000000 2.000000)"
1501,,268.000000,1.000000,,,1,"POINT (268.000000 1.000000)"
1504,,266.000000,2.000000,,,2,"POINT (266.000000 2.000000)"
1505,,266.000000,1.000000,,,3,"POINT (266.000000 1.000000)"
1508,,262.000000,2.000000,,,4,"POINT (262.000000 2.000000)"
1509,,262.000000,1.000000,,,5,"POINT (262.000000 1.000000)"
1514,,261.000000,2.000000,,,6,"POINT (261.000000 2.000000)"
1518,,259.000000,3.000000,,,7,"POINT (259.000000 3.000000)"
1521,,256.000000,6.000000,,,8,"POINT (256.000000 6.000000)"
1522,,257.000000,4.000000,,,9,"POINT (257.000000 4.000000)"
1523,,258.000000,2.000000,,,10,"POINT (258.000000 2.000000)"
1524,,255.000000,7.000000,,,11,"POINT (255.000000 7.000000)"
1525,,255.000000,6.000000,,,12,"POINT (255.000000 6.000000)"
1526,,255.000000,5.000000,,,13,"POINT (255.000000 5.000000)"
1527,,255.000000,4.000000,,,14,"POINT (255.000000 4.000000)"
1528,,255.000000,3.000000,,,15,"POINT (255.000000 3.000000)"
1529,,255.000000,2.000000,,,16,"POINT (255.000000 2.000000)"
1530,,253.000000,2.000000,,,17,"POINT (253.000000 2.000000)"
1531,,253.000000,3.000000,,,18,"POINT (253.000000 3.000000)"
1532,,253.000000,4.000000,,,19,"POINT (253.000000 4.000000)"
1533,,253.000000,5.000000,,,20,"POINT (253.000000 5.000000)"
1534,,253.000000,6.000000,,,21,"POINT (253.000000 6.000000)"
1535,,253.000000,7.000000,,,22,"POINT (253.000000 7.000000)"
1536,,252.000000,6.000000,,,23,"POINT (252.000000 6.000000)"
1538,,252.000000,4.000000,,,24,"POINT (252.000000 4.000000)"
1540,,250.000000,3.000000,,,25,"POINT (250.000000 3.000000)"
1543,,248.000000,2.000000,,,26,"POINT (248.000000 2.000000)"
1544,,258.000000,1.000000,,,27,"POINT (258.000000 1.000000)"
1545,,255.000000,1.000000,,,28,"POINT (255.000000 1.000000)"
1546,,255.000000,0.000000,,,29,"POINT (255.000000 0.000000)"
