name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W8-A,1947,0,,0,1,8,0
,1945,1,,2,1,8,1
W8-A,1943,2,,0,3,8,
,1941,3,,2,3,8,
W8-1,1940,4,,5,4,8,
W8-II,1939,5,,5,3,8,
W8-3,1938,6,,5,2,8,
W8-IV,1937,7,,5,1,8,
W8-5,1936,8,,5,0,8,
W8-5,1935,9,,7,0,8,
W8-IV,1934,10,,7,1,8,
W8-3,1933,11,,7,2,8,
,1932,12,,8,1,8,
W8-II,1930,13,,7,3,8,
W8-1,1929,14,,7,4,8,
,1928,15,,10,1,8,
,1927,16,,10,3,8,
W8-B,1924,17,,12,1,8,
W8-B,1923,18,,12,3,8,
,19401,19,,4,1,8,
W7-B,1863,0,,46,3,7,
W7-B,1864,1,,46,2,7,
,1879,2,,38,2,7,
,1880,3,,36,3,7,
W7-II,1882,4,,35,3,7,
W7-1,1883,5,,35,4,7,
,1884,6,,36,2,7,
W7-III,1885,7,,35,2,7,
W7-4,1886,8,,35,1,7,
,1887,9,,35,0,7,
,1888,10,,33,0,7,
W7-4,1889,11,,33,1,7,
W7-III,1890,12,,33,2,7,
W7-II,1891,13,,33,3,7,
W7-1,1892,14,,33,4,7,
,1893,15,,30,3,7,
,1894,16,,32,1,7,
,1896,17,,30,2,7,
W7-A,1911,18,,22,3,7,
W7-A,1912,19,,22,2,7,
,1867,20,,42,3,7,
,1872,21,,41,2,7,
,1900,22,,24,2,7,
,1903,23,,23,3,7,
W6-B,1817,0,,75,2,6,
W6-B,1818,1,,75,1,6,
,1826,2,,69,2,6,
,1828,3,,67,3,6,
W6-III,1829,4,,66,2,6,
W6-2,1830,5,,66,3,6,
W6-1,1831,6,,66,4,6,
,1832,7,,69,1,6,
W6-IV,1833,8,,66,1,6,
W6-5,1834,9,,66,0,6,
W6-IV,1835,10,,64,1,6,
W6-5,1836,11,,64,0,6,
W6-III,1837,12,,64,2,6,
W6-2,1838,13,,64,3,6,
W6-1,1839,14,,64,4,6,
,1840,15,,63,3,6,
,1842,16,,61,2,6,
,1843,17,,61,1,6,
W6-A,1851,18,,56,2,6,
W6-A,1852,19,,56,1,6,
