agent_id,from_origin_node_id,to_destination_node_id,earliest_departure_time,frequency,direction,speed_grade,set_of_allowed_links,min_link_travel_time,max_link_travel_time,headway
0,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
1,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
2,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
3,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
4,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
5,0,22,0,1,0,1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1000
6,0,22,0,1,0,2,0;22;23;24;25;26;27;28;29;30;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
7,0,22,0,1,0,2,0;22;23;24;25;26;27;28;29;30;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8,0,22,0,1,0,2,0;22;23;24;25;26;27;28;29;30;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
9,0,22,0,1,0,2,0;22;23;24;25;26;27;28;29;30;10;11;12;13;14;15;16;17;18;19;20;21;43,5;4;4;5;4;4;5;4;4;5;4;4;8;2;2;8;2;2;8;3;3;8;4;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000;5;4;4;5;4;4;5;5;4;5;5;4;8;5;2;8;5;2;8;5;3;8;5;4;1;4;4;1;4;4;1;4;4;1;2;2;1;2;2;1;3;3;1;1000,6;5;5;6;5;5;6;5;5;6;5;5;9;3;3;9;3;3;9;4;4;9;5;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000;6;5;5;6;5;5;6;6;5;6;6;5;9;6;3;9;6;3;9;6;4;9;6;5;1;5;5;1;5;5;1;5;5;1;3;3;1;3;3;1;4;4;1;1000,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
