name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W8-A,0,0,,0,0,0,
W8-B,1,1,,0,0,1,
,2,2,,2,2,2,
W7-A,3,3,,4,4,3,
W7-B,4,4,,4,4,4,
,5,5,,6,6,5,
W6-A,6,6,,8,8,6,
W6-B,7,7,,8,8,7,
,8,8,,10,10,8,
W5-A,9,9,,12,12,9,
W5-B,10,10,,12,12,10,
,11,11,,14,14,11,
W4-A,12,12,,16,16,12,
W4-B,13,13,,16,16,13,
,14,14,,18,18,14,
W3-A,15,15,,20,20,15,
W3-B,16,16,,20,20,16,
,17,17,,22,22,17,
W2-A,18,18,,24,24,18,
W2-B,19,19,,24,24,19,
,20,20,,26,26,20,
W1-A,21,21,,28,28,21,
W1-B,22,22,,28,28,22,
,23,23,,2,2,23,
W7-A,24,24,,4,4,24,
,25,25,,6,6,25,
W6-A,26,26,,8,8,26,
,27,27,,10,10,27,
W5-A,28,28,,12,12,28,
,29,29,,14,14,29,
W4-A,30,30,,16,16,30,
,31,31,,18,18,31,
W3-A,32,32,,20,20,32,
,33,33,,22,22,33,
W2-A,34,34,,24,24,34,
,35,35,,26,26,35,
W1-A,36,36,,28,28,36,
