station,type,macro_from_node_id,macro_to_node_id,micro_from_node_id,micro_to_node_id,set_of_allowed_links,min_link_travel_time,max_link_travel_time,headway
W8,stop,0,1,1943,1923,7;6;5;4;3;2;1;0;8,8;5;4;240;240;5;4;8;3000;8;4;5;4;5;240;240;240;5;4;4;5;8;3000,9;6;5;300;300;6;5;9;3000;9;5;6;5;6;300;300;300;6;5;5;6;9;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W8,stop,1,0,1924,1947,9;10;11;12;13;14;15;16;17;18;19;20;21;22,8;5;4;240;240;5;4;8;3000;8;4;5;4;5;240;240;240;5;4;4;5;8;3000,9;6;5;300;300;6;5;9;3000;9;5;6;5;6;300;300;300;6;5;5;6;9;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W7,stop,3,4,1911,1863,7;5;3;1;0;8,26;5;4;240;4;5;4;14;3000;12;4;4;5;8;4;240;240;4;4;4;5;12;3000,30;6;5;300;5;6;5;18;3000;16;5;5;6;9;5;300;300;5;5;5;6;16;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W7,stop,4,3,1864,1912,9;10;12;13;15;16;18;19;20;21;22,26;5;4;240;4;5;4;14;3000;12;4;4;5;8;4;240;240;4;4;4;5;12;3000,30;6;5;300;5;6;5;18;3000;16;5;5;6;9;5;300;300;5;5;5;6;16;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W7,over,24,4,1911,1863,7;6;4;2;0;8,26;5;4;240;4;5;4;14;3000;12;4;4;5;8;4;240;240;4;4;4;5;12;3000,30;6;5;300;5;6;5;18;3000;16;5;5;6;9;5;300;300;5;5;5;6;16;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W7,over,4,24,1864,1912,9;10;11;14;17;21;22,26;5;4;240;4;5;4;14;3000;12;4;4;5;8;4;240;240;4;4;4;5;12;3000,30;6;5;300;5;6;5;18;3000;16;5;5;6;9;5;300;300;5;5;5;6;16;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W6,stop,6,7,1851,1817,12;10;9;8;6;5;3;4;2;0;13,16;4;4;4;5;240;240;4;5;4;4;4;16;3000;16;4;5;4;240;4;5;16;3000,20;5;5;5;6;300;300;5;6;5;5;5;20;3000;20;5;6;5;300;5;6;20;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W6,stop,7,6,1818,1852,14;16;18;20;21;22,16;4;4;4;5;240;240;4;5;4;4;4;16;3000;16;4;5;4;240;4;5;16;3000,20;5;5;5;6;300;300;5;6;5;5;5;20;3000;20;5;6;5;300;5;6;20;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W6,over,26,7,1851,1817,12;11;7;1;0;13,16;4;4;4;5;240;240;4;5;4;4;4;16;3000;16;4;5;4;240;4;5;16;3000,20;5;5;5;6;300;300;5;6;5;5;5;20;3000;20;5;6;5;300;5;6;20;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W6,over,7,26,1818,1852,14;15;17;19;21;22,16;4;4;4;5;240;240;4;5;4;4;4;16;3000;16;4;5;4;240;4;5;16;3000,20;5;5;5;6;300;300;5;6;5;5;5;20;3000;20;5;6;5;300;5;6;20;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
