name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W4-B,1695,0,,24,2,4,
W4-B,1696,1,,24,1,4,
,1699,2,,22,1,4,
,1701,3,,20,2,4,
,1703,4,,18,2,4,
,1706,5,,16,4,4,
,1708,6,,14,5,4,
W4-1,1709,7,,13,6,4,
W4-2,1710,8,,13,5,4,
W4-3,1711,9,,13,4,4,
W4-4,1712,10,,13,3,4,
,1714,11,,15,2,4,
W4-V,1715,12,,13,2,4,
,1716,13,,14,1,4,
W4-VI,1717,14,,13,1,4,
W4-7,1718,15,,13,0,4,
W4-1,1719,16,,11,6,4,
W4-2,1720,17,,11,5,4,
W4-3,1721,18,,11,4,4,
W4-4,1722,19,,11,3,4,
W4-V,1723,20,,11,2,4,
,1724,21,,9,5,4,
,1726,22,,10,3,4,
,1728,23,,8,2,4,
W4-VI,1730,24,,11,1,4,
W4-7,1731,25,,11,0,4,
,1732,26,,9,1,4,
,1733,27,,6,2,4,
,1736,28,,4,2,4,
,1738,29,,2,1,4,
W4-A,1741,30,,0,2,4,
W4-A,1742,31,,0,1,4,
