name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
,0,1767,1753,0,0.2,1,60,1,0,1000,1000,1,,20,20,21,1
,1,1770,1767,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,2,1769,1767,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,3,1771,1769,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,4,1772,1769,0,0.05,1,60,1,0,1000,1000,1,,5,5,6,1
,5,1773,1772,0,0.45,1,60,1,13,1000,1000,1,,45,240,300,1
,6,1774,1771,0,0.45,1,60,1,13,1000,1000,1,,45,240,300,1
,7,1775,1770,0,0.45,1,60,1,0,1000,1000,1,,45,4,5,1
,8,1776,1773,0,0.05,1,60,1,0,1000,1000,1,,5,5,6,1
,9,1776,1774,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,10,1778,1776,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,11,1778,1775,0,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,12,1805,1778,0,0.2,1,60,1,0,1000,1000,1,,20,20,21,1
,13,1805,1753,0,1000,1,60,1,12,1000,1000,1,,1000,1000,1000,1
,14,1754,1779,1,0.2,1,60,1,0,1000,1000,1,,20,20,21,1
,15,1779,1782,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,16,1779,1781,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,17,1781,1783,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,18,1781,1784,1,0.05,1,60,1,0,1000,1000,1,,5,5,6,1
,19,1782,1785,1,0.45,1,60,1,0,1000,1000,1,,45,4,5,1
,20,1783,1786,1,0.45,1,60,1,13,1000,1000,1,,45,240,300,1
,21,1784,1787,1,0.45,1,60,1,13,1000,1000,1,,45,240,300,1
,22,1785,1790,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,23,1786,1788,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,24,1788,1790,1,0.04,1,60,1,0,1000,1000,1,,4,4,5,1
,25,1790,1806,1,0.2,1,60,1,0,1000,1000,1,,20,20,21,1
,26,1787,1788,1,0.05,1,60,1,0,1000,1000,1,,5,5,6,1
,27,1754,1806,1,1000,1,60,1,12,1000,1000,1,,1000,1000,1000,1
