node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1753,,23.000000,3.000000,,,0,"POINT (23.000000 3.000000)"
1754,,23.000000,2.000000,,,1,"POINT (23.000000 2.000000)"
1767,,15.000000,3.000000,,,2,"POINT (15.000000 3.000000)"
1769,,13.000000,4.000000,,,3,"POINT (13.000000 4.000000)"
1770,,12.000000,3.000000,,,4,"POINT (12.000000 3.000000)"
1771,,12.000000,4.000000,,,5,"POINT (12.000000 4.000000)"
1772,,12.000000,5.000000,,,6,"POINT (12.000000 5.000000)"
1773,,10.000000,5.000000,,,7,"POINT (10.000000 5.000000)"
1774,,10.000000,4.000000,,,8,"POINT (10.000000 4.000000)"
1775,,10.000000,3.000000,,,9,"POINT (10.000000 3.000000)"
1776,,9.000000,4.000000,,,10,"POINT (9.000000 4.000000)"
1778,,7.000000,3.000000,,,11,"POINT (7.000000 3.000000)"
1779,,15.000000,2.000000,,,12,"POINT (15.000000 2.000000)"
1781,,13.000000,1.000000,,,13,"POINT (13.000000 1.000000)"
1782,,12.000000,2.000000,,,14,"POINT (12.000000 2.000000)"
1783,,12.000000,1.000000,,,15,"POINT (12.000000 1.000000)"
1784,,12.000000,0.000000,,,16,"POINT (12.000000 0.000000)"
1785,,10.000000,2.000000,,,17,"POINT (10.000000 2.000000)"
1786,,10.000000,1.000000,,,18,"POINT (10.000000 1.000000)"
1787,,10.000000,0.000000,,,19,"POINT (10.000000 0.000000)"
1788,,9.000000,1.000000,,,20,"POINT (9.000000 1.000000)"
1790,,7.000000,2.000000,,,21,"POINT (7.000000 2.000000)"
1805,,0.000000,3.000000,,,22,"POINT (0.000000 3.000000)"
1806,,0.000000,2.000000,,,23,"POINT (0.000000 2.000000)"
