name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,minTT,maxTT,headway
w8,0,0,1,0,1.24,4,60,1,11,14,14,0,,9,11,3
,1,1,2,0,4,1,60,1,0,7,1000,0,,4,6,3
,2,2,3,0,4,1,60,1,0,8,18,0,,4,6,3
w7,3,3,4,0,1.76,4,60,1,11,17,17,0,,9,11,3
,4,4,5,0,8,1,60,1,0,10,1000,0,,8,10,3
,5,5,6,0,8,1,60,1,0,11,1000,0,,8,10,3
w6,6,6,7,0,1.4,4,60,1,11,20,20,0,,9,11,3
,7,1,8,0,4,1,60,1,0,1,1000,0,,4,6,3
,8,8,9,0,4,1,60,1,0,2,1000,0,,4,6,3
w7,9,9,4,0,1.76,1,60,1,11,23,1000,0,,0,0,3
,10,4,10,0,8,1,60,1,0,4,1000,0,,8,10,3
,11,10,11,0,8,1,60,1,0,5,1000,0,,8,10,3
w6,12,11,7,0,1.4,1,60,1,11,26,1000,0,,0,0,3
,13,0,7,1,1000,1,60,1,12,1000,1000,0,,1000,1000,3
w8,14,1,0,1,1.24,4,60,1,11,0,0,0,,9,11,3
,15,2,1,1,4,1,60,1,0,21,1000,0,,4,6,3
,16,3,2,1,4,1,60,1,0,22,1000,0,,4,6,3
w7,17,4,3,1,1.76,4,60,1,11,3,3,0,,9,11,3
,18,5,4,1,8,1,60,1,0,24,2,0,,8,10,3
,19,6,5,1,8,1,60,1,0,25,1000,0,,8,10,3
w6,20,7,6,1,1.4,4,60,1,11,6,1000,0,,9,11,3
,21,8,1,1,4,1,60,1,0,15,1000,0,,4,6,3
,22,9,8,1,4,1,60,1,0,16,1000,0,,4,6,3
w7,23,4,9,1,1.76,1,60,1,11,9,1000,0,,0,0,3
,24,10,4,1,8,1,60,1,0,18,1000,0,,8,10,3
,25,11,10,1,8,1,60,1,0,19,1000,0,,8,10,3
w6,26,7,11,1,1.4,1,60,1,11,12,1000,0,,0,0,3
,27,7,0,1,1000,1,60,1,12,1000,1000,0,,1000,1000,3
