agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,2700
1,W6-1,2721
1,W6-1,2721
1,W6-1,3201
1,W6-1,3201
1,W6-B,3240
2,W6-B,300
2,W6-5,321
2,W6-5,321
2,W6-5,801
2,W6-5,801
2,W6-A,840
3,W6-A,3540
3,W6-2,3560
3,W6-2,3560
3,W6-2,4040
3,W6-2,4040
3,W6-B,4080
4,W6-A,3900
4,W6-1,3921
4,W6-1,3921
4,W6-1,4401
4,W6-1,4401
4,W6-B,4440
5,W6-A,4320
5,W6-2,4340
5,W6-2,4340
5,W6-2,4820
5,W6-2,4820
5,W6-B,4860
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1200
1,W7-4,1224
1,W7-4,1224
1,W7-4,1704
1,W7-4,1704
1,W7-B,1740
2,W7-B,1800
2,W7-4,1829
2,W7-4,1829
2,W7-4,2309
2,W7-4,2309
2,W7-A,2340
3,W7-A,2040
3,W7-1,2063
3,W7-1,2063
3,W7-1,2543
3,W7-1,2543
3,W7-B,2580
5,W7-A,2820
5,W7-1,2843
5,W7-1,2843
5,W7-1,3323
5,W7-1,3323
5,W7-B,3360
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,180
1,W8-1,193
1,W8-1,193
1,W8-1,673
1,W8-1,673
1,W8-B,720
2,W8-B,2820
2,W8-5,2833
2,W8-5,2833
2,W8-5,3313
2,W8-5,3313
2,W8-A,3360
3,W8-A,1020
3,W8-II,1032
3,W8-II,1032
3,W8-II,1512
3,W8-II,1512
3,W8-B,1560
4,W8-A,1380
4,W8-1,1393
4,W8-1,1393
4,W8-1,1873
4,W8-1,1873
4,W8-B,1920
5,W8-A,1800
5,W8-II,1812
5,W8-II,1812
5,W8-II,2292
5,W8-II,2292
5,W8-B,2340
