agent_no,node_name,node_time
0,W6-B,0
0,W6-5,21
0,W6-5,21
0,W6-5,501
0,W6-5,501
0,W6-A,540
1,W6-A,2520
1,W6-2,2540
1,W6-2,2540
1,W6-2,3020
1,W6-2,3020
1,W6-B,3060
2,W6-A,3300
2,W6-2,3320
2,W6-2,3320
2,W6-2,3800
2,W6-2,3800
2,W6-B,3840
3,W6-A,3600
3,W6-1,3621
3,W6-1,3621
3,W6-1,4101
3,W6-1,4101
3,W6-B,4140
4,W6-A,3960
4,W6-2,3980
4,W6-2,3980
4,W6-2,4460
4,W6-2,4460
4,W6-B,4500
5,W6-A,4260
5,W6-1,4281
5,W6-1,4281
5,W6-1,4761
5,W6-1,4761
5,W6-B,4800
0,W7-B,1500
0,W7-4,1525
0,W7-4,1525
0,W7-4,2005
0,W7-4,2005
0,W7-A,2040
1,W7-A,1020
1,W7-1,1043
1,W7-1,1043
1,W7-1,1523
1,W7-1,1523
1,W7-B,1560
2,W7-A,1800
2,W7-1,1823
2,W7-1,1823
2,W7-1,2303
2,W7-1,2303
2,W7-B,2340
3,W7-A,2100
3,W7-4,2130
3,W7-4,2130
3,W7-4,2610
3,W7-4,2610
3,W7-B,2640
4,W7-A,2460
4,W7-1,2483
4,W7-1,2483
4,W7-1,2963
4,W7-1,2963
4,W7-B,3000
5,W7-A,2760
5,W7-4,2784
5,W7-4,2784
5,W7-4,3264
5,W7-4,3264
5,W7-B,3300
0,W8-B,2520
0,W8-5,2533
0,W8-5,2533
0,W8-5,3013
0,W8-5,3013
0,W8-A,3060
1,W8-A,0
1,W8-II,12
1,W8-II,12
1,W8-II,492
1,W8-II,492
1,W8-B,540
2,W8-A,780
2,W8-II,792
2,W8-II,792
2,W8-II,1272
2,W8-II,1272
2,W8-B,1320
3,W8-A,1080
3,W8-1,1093
3,W8-1,1093
3,W8-1,1573
3,W8-1,1573
3,W8-B,1620
4,W8-A,1440
4,W8-II,1452
4,W8-II,1452
4,W8-II,1932
4,W8-II,1932
4,W8-B,1980
5,W8-A,1740
5,W8-1,1753
5,W8-1,1753
5,W8-1,2233
5,W8-1,2233
5,W8-B,2280
