name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
w7,0,1865,1863,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,1,1867,1865,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,2,1871,1869,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,3,1869,1867,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,4,1868,1874,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,5,1874,1875,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,6,1875,1871,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,7,1872,1876,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,8,1876,1873,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,9,1873,1867,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,10,1868,1870,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,11,1870,1872,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,12,1878,1871,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,13,1880,1878,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,14,10004,1880,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
w7,15,1882,1880,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,16,1892,1883,0,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
w7,17,1891,1882,0,0.45,1,0.01,1,0,1000,1000,0,,45,5,5,1
w7,18,1893,10003,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
w7,19,1893,1891,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,20,1897,1893,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,21,1899,1897,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,22,1903,1901,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,23,1901,1899,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,24,1903,1907,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,25,1907,1906,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,26,1906,1900,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,27,1899,1905,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,28,1905,1908,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,29,1908,1904,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,30,1900,1902,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,31,1902,1904,0,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,32,1909,1903,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,33,1911,1909,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,34,1911,1863,0,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
w7,35,1864,1866,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,36,1866,1868,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,37,1872,1877,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,38,1877,1879,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,39,1879,1881,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,40,1881,1884,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,41,1884,1885,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,42,1884,1886,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
w7,43,1879,1887,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
w7,44,1885,1890,1,0.45,1,0.01,1,0,1000,1000,0,,45,5,5,1
w7,45,1886,1889,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
w7,46,1887,1888,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
w7,47,1890,1896,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,48,1889,1894,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,49,1894,1895,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,50,1895,1896,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,51,1888,1894,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
w7,52,1896,1898,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,53,1898,1900,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,54,1904,1910,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,55,1910,1912,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,56,1864,1912,1,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
w7,57,10003,10001,1,0.05,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,58,10001,10002,1,0.05,1,0.01,1,13,1000,1000,0,,180,120,240,1
w7,59,10002,10004,1,0.05,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,60,10003,1892,1,0.05,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,61,1883,10004,1,0.05,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,62,1903,1900,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
w7,63,1900,1898,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,64,1898,1896,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,65,1896,1889,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
w7,66,1889,1886,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
w7,67,1886,1884,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
w7,68,1884,1881,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,69,1881,1879,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,70,1879,1877,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,71,1877,1872,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
w7,72,1872,1867,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
