name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W7-B,1863,0,,22,0,,
W7-B,1864,1,,22,1,,
,1865,2,,21,2,,
,1866,3,,21,3,,
,1867,4,,20,4,,
,1868,5,,20,5,,
,1869,6,,18,6,,
,1870,7,,18,7,,
,1871,8,,16,8,,
,1872,9,,16,9,,
,1873,10,,19,10,,
,1874,11,,19,11,,
,1875,12,,17,12,,
,1876,13,,17,13,,
,1877,14,,15,14,,
,1878,15,,14,15,,
,1879,16,,14,16,,
,1880,17,,12,17,,
,1881,18,,13,18,,
W7-II,1882,19,,11,19,,
W7-1,1883,20,,11,20,,
,1884,21,,12,21,,
W7-III,1885,22,,11,22,,
W7-4,1886,23,,11,23,,
,1887,24,,11,24,,
,1888,25,,11,25,,
W7-4,1889,26,,11,26,,
W7-III,1890,27,,11,27,,
W7-II,1891,28,,11,28,,
W7-1,1892,29,,11,29,,
,1893,30,,8,30,,
,1894,31,,10,31,,
,1895,32,,9,32,,
,1896,33,,8,33,,
,1897,34,,7,34,,
,1898,35,,7,35,,
,1899,36,,6,36,,
,1900,37,,6,37,,
,1901,38,,4,38,,
,1902,39,,4,39,,
,1903,40,,2,40,,
,1904,41,,2,41,,
,1905,42,,5,42,,
,1906,43,,5,43,,
,1907,44,,3,44,,
,1908,45,,3,45,,
,1909,46,,1,46,,
,1910,47,,1,47,,
W7-A,1911,48,,0,48,,
W7-A,1912,49,,0,49,,
,10001,50,,11,50,,
,10002,51,,11,51,,
,10003,52,,8,52,,
,10004,53,,8,53,,
