agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,3540
1,W6-2,3560
1,W6-2,3560
1,W6-2,4040
1,W6-2,4040
1,W6-B,4080
2,W6-A,3960
2,W6-1,3981
2,W6-1,3981
2,W6-1,4461
2,W6-1,4461
2,W6-B,4500
3,W6-B,300
3,W6-5,321
3,W6-5,321
3,W6-5,801
3,W6-5,801
3,W6-A,840
4,W6-A,2700
4,W6-1,2721
4,W6-1,2721
4,W6-1,3201
4,W6-1,3201
4,W6-B,3240
5,W6-A,4380
5,W6-2,4400
5,W6-2,4400
5,W6-2,4880
5,W6-2,4880
5,W6-B,4920
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,1020
1,W8-II,1032
1,W8-II,1032
1,W8-II,1512
1,W8-II,1512
1,W8-B,1560
2,W8-A,1440
2,W8-1,1453
2,W8-1,1453
2,W8-1,1933
2,W8-1,1933
2,W8-B,1980
3,W8-B,2820
3,W8-5,2833
3,W8-5,2833
3,W8-5,3313
3,W8-5,3313
3,W8-A,3360
4,W8-A,180
4,W8-1,193
4,W8-1,193
4,W8-1,673
4,W8-1,673
4,W8-B,720
5,W8-A,1860
5,W8-II,1872
5,W8-II,1872
5,W8-II,2352
5,W8-II,2352
5,W8-B,2400
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,2040
1,W7-1,2063
1,W7-1,2063
1,W7-1,2543
1,W7-1,2543
1,W7-B,2580
2,W7-A,2460
2,W7-4,2484
2,W7-4,2484
2,W7-4,2964
2,W7-4,2964
2,W7-B,3000
3,W7-B,1800
3,W7-4,1829
3,W7-4,1829
3,W7-4,2309
3,W7-4,2309
3,W7-A,2340
4,W7-A,1200
4,W7-4,1224
4,W7-4,1224
4,W7-4,1704
4,W7-4,1704
4,W7-B,1740
5,W7-A,2880
5,W7-1,2903
5,W7-1,2903
5,W7-1,3383
5,W7-1,3383
5,W7-B,3420
6,W6-A,3900
6,W6-1,3921
6,W6-1,3921
6,W6-1,4401
6,W6-1,4401
6,W6-B,4440
6,W8-A,1380
6,W8-1,1393
6,W8-1,1393
6,W8-1,1873
6,W8-1,1873
6,W8-B,1920
6,W7-A,2400
6,W7-4,2423
6,W7-4,2423
6,W7-4,2903
6,W7-4,2903
6,W7-B,2940
