name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
,0,1880,1863,0,0.26,1,0.01,1,0,1000,1000,0,,26,26,30,1
,1,1883,1880,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,2,1882,1880,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,3,1892,1883,0,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,4,1891,1882,0,0.45,1,0.01,1,0,1000,1000,0,,45,4,5,1
,5,1893,1892,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,6,1893,1891,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,7,1911,1893,0,0.14,1,0.01,1,0,1000,1000,0,,14,14,18,1
,8,1911,1863,0,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
,9,1864,1879,1,0.12,1,0.01,1,0,1000,1000,0,,12,12,16,1
,10,1879,1884,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,11,1884,1885,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,12,1884,1886,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,13,1879,1887,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,14,1885,1890,1,0.45,1,0.01,1,0,1000,1000,0,,45,4,5,1
,15,1886,1889,1,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,16,1887,1888,1,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,17,1890,1896,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,18,1889,1894,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,19,1894,1896,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,20,1888,1894,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,21,1896,1912,1,0.12,1,0.01,1,0,1000,1000,0,,12,12,16,1
,22,1864,1912,1,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
,23,1893,10001,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,24,10001,10002,0,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,25,10002,1880,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,26,1911,10003,0,0.07,1,0.01,1,0,1000,1000,0,,7,7,8,1
,27,10003,10004,0,0.03,1,0.01,1,0,1000,1000,0,,3,3,4,1
,28,10004,1896,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,29,1896,1894,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,30,1894,1889,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,31,1894,1888,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,32,1888,1887,0,0.45,1,0.01,1,0,1000,1000,0,,45,225,285,1
,33,1889,1886,0,0.45,1,0.01,1,0,1000,1000,0,,45,225,285,1
,34,1886,1884,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,35,1887,1879,0,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,36,1884,1879,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,37,1879,10005,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,38,10005,10006,0,0.03,1,0.01,1,0,1000,1000,0,,3,3,4,1
,39,10006,1863,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
