name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
,0,1927,1923,0,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,1,1929,1927,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,2,1930,1927,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,3,1940,1929,0,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,4,1939,1930,0,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,5,1941,1940,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,6,1941,1939,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,7,1943,1941,0,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,8,1943,1923,0,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
,9,1924,1928,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,10,1928,1932,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,11,1932,1933,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,12,1932,1934,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,13,1928,1935,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,14,1933,1938,1,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,15,1934,1937,1,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,16,1935,1936,1,0.45,1,0.01,1,13,1000,1000,0,,45,240,300,1
,17,1938,19401,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,18,1937,19401,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,19,19401,1945,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,20,1936,1945,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,21,1945,1947,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,22,1924,1947,1,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
