agent_no,node_name,node_time
0,W1-A,4680
0,W1-1,4710
0,W1-1,4710
0,W1-1,5100
0,W1-1,5100
0,W1-B,5160
1,W1-A,4860
1,W1-2,4890
1,W1-2,4890
1,W1-2,5280
1,W1-2,5280
1,W1-B,5340
2,W1-A,5760
2,W1-1,5790
2,W1-1,5790
2,W1-1,6180
2,W1-1,6180
2,W1-B,6240
3,W1-A,6180
3,W1-2,6210
3,W1-2,6210
3,W1-2,6600
3,W1-2,6600
3,W1-B,6660
4,W1-A,6480
4,W1-1,6510
4,W1-1,6510
4,W1-1,6900
4,W1-1,6900
4,W1-B,6960
5,W1-A,6660
5,W1-2,6690
5,W1-2,6690
5,W1-2,7080
5,W1-2,7080
5,W1-B,7140
6,W1-A,6840
6,W1-5,6858
6,W1-5,6858
6,W1-5,7278
6,W1-5,7278
6,W1-B,7320
7,W1-A,7740
7,W1-1,7770
7,W1-1,7770
7,W1-1,8160
7,W1-1,8160
7,W1-B,8220
8,W1-A,8280
8,W1-1,8310
8,W1-1,8310
8,W1-1,8700
8,W1-1,8700
8,W1-B,8760
9,W1-A,8460
9,W1-2,8490
9,W1-2,8490
9,W1-2,8880
9,W1-2,8880
9,W1-B,8940
10,W1-A,9360
10,W1-1,9390
10,W1-1,9390
10,W1-1,9780
10,W1-1,9780
10,W1-B,9840
11,W1-A,9780
11,W1-2,9810
11,W1-2,9810
11,W1-2,10200
11,W1-2,10200
11,W1-B,10260
12,W1-A,10080
12,W1-1,10110
12,W1-1,10110
12,W1-1,10500
12,W1-1,10500
12,W1-B,10560
13,W1-A,10380
13,W1-2,10410
13,W1-2,10410
13,W1-2,10800
13,W1-2,10800
13,W1-B,10860
14,W1-A,10560
14,W1-1,10590
14,W1-1,10590
14,W1-1,10980
14,W1-1,10980
14,W1-B,11040
15,W1-A,11460
15,W1-1,11490
15,W1-1,11490
15,W1-1,11880
15,W1-1,11880
15,W1-B,11940
16,W1-A,11880
16,W1-2,11910
16,W1-2,11910
16,W1-2,12300
16,W1-2,12300
16,W1-B,12360
17,W1-A,12060
17,W1-1,12090
