agent_no,node_name,node_time
0,W1-A,5400
0,W1-1,5434
0,W1-1,5434
0,W1-1,5824
0,W1-1,5824
0,W1-B,5880
1,W1-A,5820
1,W1-2,5854
1,W1-2,5854
1,W1-2,6244
1,W1-2,6244
1,W1-B,6300
2,W1-A,6240
2,W1-1,6274
2,W1-1,6274
2,W1-1,6664
2,W1-1,6664
2,W1-B,6720
3,W1-A,6660
3,W1-2,6694
3,W1-2,6694
3,W1-2,7084
3,W1-2,7084
3,W1-B,7140
4,W1-A,7080
4,W1-1,7114
4,W1-1,7114
4,W1-1,7504
4,W1-1,7504
4,W1-B,7560
5,W1-A,7500
5,W1-2,7534
5,W1-2,7534
5,W1-2,7924
5,W1-2,7924
5,W1-B,7980
6,W1-A,7800
6,W1-1,7834
6,W1-1,7834
6,W1-1,8224
6,W1-1,8224
6,W1-B,8280
7,W1-A,7980
7,W1-2,8014
7,W1-2,8014
7,W1-2,8404
7,W1-2,8404
7,W1-B,8460
8,W1-A,8280
8,W1-1,8314
8,W1-1,8314
8,W1-1,8704
8,W1-1,8704
8,W1-B,8760
9,W1-A,8460
9,W1-2,8494
9,W1-2,8494
9,W1-2,8884
9,W1-2,8884
9,W1-B,8940
10,W1-A,8880
10,W1-1,8914
10,W1-1,8914
10,W1-1,9304
10,W1-1,9304
10,W1-B,9360
11,W1-A,9060
11,W1-2,9094
11,W1-2,9094
11,W1-2,9484
11,W1-2,9484
11,W1-B,9540
12,W1-A,9360
12,W1-1,9394
12,W1-1,9394
12,W1-1,9784
12,W1-1,9784
12,W1-B,9840
13,W1-A,9660
13,W1-2,9694
13,W1-2,9694
13,W1-2,10084
13,W1-2,10084
13,W1-B,10140
14,W1-A,9840
14,W1-1,9874
14,W1-1,9874
14,W1-1,10264
14,W1-1,10264
14,W1-B,10320
15,W1-A,10020
15,W1-5,10044
15,W1-5,10044
15,W1-5,10464
15,W1-5,10464
15,W1-B,10500
16,W1-A,10320
16,W1-1,10354
16,W1-1,10354
16,W1-1,10744
16,W1-1,10744
16,W1-B,10800
17,W1-A,10620
17,W1-2,10654
17,W1-2,10654
17,W1-2,11044
17,W1-2,11044
17,W1-B,11100
18,W1-B,0
18,W1-8,24
18,W1-8,24
18,W1-8,414
18,W1-8,414
18,W1-A,480
19,W1-B,180
19,W1-2,214
19,W1-2,214
19,W1-2,604
19,W1-2,604
19,W1-A,660
20,W1-B,480
20,W1-8,504
20,W1-8,504
20,W1-8,894
20,W1-8,894
20,W1-A,960
21,W1-B,780
21,W1-2,814
21,W1-2,814
21,W1-2,1204
21,W1-2,1204
21,W1-A,1260
22,W1-B,960
22,W1-8,984
22,W1-8,984
22,W1-8,1374
22,W1-8,1374
22,W1-A,1440
23,W1-B,1260
23,W1-2,1294
23,W1-2,1294
23,W1-2,1684
23,W1-2,1684
23,W1-A,1740
24,W1-B,1560
24,W1-8,1584
24,W1-8,1584
24,W1-8,1974
24,W1-8,1974
24,W1-A,2040
25,W1-B,1740
25,W1-2,1774
25,W1-2,1774
25,W1-2,2164
25,W1-2,2164
25,W1-A,2220
26,W1-B,2040
26,W1-8,2064
26,W1-8,2064
26,W1-8,2454
26,W1-8,2454
26,W1-A,2520
27,W1-B,2340
27,W1-2,2374
27,W1-2,2374
27,W1-2,2764
27,W1-2,2764
27,W1-A,2820
28,W1-B,2760
28,W1-8,2784
28,W1-8,2784
28,W1-8,3174
28,W1-8,3174
28,W1-A,3240
29,W1-B,3900
29,W1-8,3924
29,W1-8,3924
29,W1-8,4314
29,W1-8,4314
29,W1-A,4380
30,W1-B,5400
30,W1-8,5424
30,W1-8,5424
30,W1-8,5814
30,W1-8,5814
30,W1-A,5880
31,W1-B,7260
31,W1-8,7284
31,W1-8,7284
31,W1-8,7674
31,W1-8,7674
31,W1-A,7740
32,W1-B,8340
32,W1-8,8364
32,W1-8,8364
32,W1-8,8754
32,W1-8,8754
32,W1-A,8820
33,W1-B,8760
33,W1-5,8786
33,W1-5,8786
33,W1-5,9206
33,W1-5,9206
33,W1-A,9240
34,W1-B,9600
34,W1-8,9624
34,W1-8,9624
34,W1-8,10014
34,W1-8,10014
34,W1-A,10080
35,W1-B,6480
35,W1-8,6504
35,W1-8,6504
35,W1-8,6894
35,W1-8,6894
35,W1-A,6960
0,W2-A,4560
0,W2-6,4588
0,W2-6,4588
0,W2-6,4978
0,W2-6,4978
0,W2-B,5040
1,W2-A,4980
1,W2-1,5004
1,W2-1,5004
1,W2-1,5424
1,W2-1,5424
1,W2-B,5460
2,W2-A,5400
2,W2-6,5428
2,W2-6,5428
2,W2-6,5818
2,W2-6,5818
2,W2-B,5880
3,W2-A,5820
3,W2-1,5844
3,W2-1,5844
3,W2-1,6264
3,W2-1,6264
3,W2-B,6300
4,W2-A,6240
4,W2-6,6268
4,W2-6,6268
4,W2-6,6658
4,W2-6,6658
4,W2-B,6720
5,W2-A,6660
5,W2-1,6684
5,W2-1,6684
5,W2-1,7104
5,W2-1,7104
5,W2-B,7140
6,W2-A,6960
6,W2-6,6988
6,W2-6,6988
6,W2-6,7378
6,W2-6,7378
6,W2-B,7440
7,W2-A,7140
7,W2-4,7164
7,W2-4,7164
7,W2-4,7584
7,W2-4,7584
7,W2-B,7620
8,W2-A,7440
8,W2-6,7468
8,W2-6,7468
8,W2-6,7858
8,W2-6,7858
8,W2-B,7920
9,W2-A,7620
9,W2-1,7644
9,W2-1,7644
9,W2-1,8064
9,W2-1,8064
9,W2-B,8100
10,W2-A,8040
10,W2-6,8068
10,W2-6,8068
10,W2-6,8458
10,W2-6,8458
10,W2-B,8520
11,W2-A,8220
11,W2-1,8244
11,W2-1,8244
11,W2-1,8664
11,W2-1,8664
11,W2-B,8700
12,W2-A,8520
12,W2-6,8548
12,W2-6,8548
12,W2-6,8938
12,W2-6,8938
12,W2-B,9000
13,W2-A,8820
13,W2-1,8844
13,W2-1,8844
13,W2-1,9264
13,W2-1,9264
13,W2-B,9300
14,W2-A,9000
14,W2-6,9028
14,W2-6,9028
14,W2-6,9418
14,W2-6,9418
14,W2-B,9480
15,W2-A,9180
15,W2-4,9204
15,W2-4,9204
15,W2-4,9624
15,W2-4,9624
15,W2-B,9660
16,W2-A,9480
16,W2-6,9508
16,W2-6,9508
16,W2-6,9898
16,W2-6,9898
16,W2-B,9960
17,W2-A,9780
17,W2-1,9804
17,W2-1,9804
17,W2-1,10224
17,W2-1,10224
17,W2-B,10260
18,W2-B,960
18,W2-6,988
18,W2-6,988
18,W2-6,1378
18,W2-6,1378
18,W2-A,1440
19,W2-B,1140
19,W2-4,1164
19,W2-4,1164
19,W2-4,1584
19,W2-4,1584
19,W2-A,1620
20,W2-B,1440
20,W2-6,1468
20,W2-6,1468
20,W2-6,1858
20,W2-6,1858
20,W2-A,1920
21,W2-B,1740
21,W2-4,1764
21,W2-4,1764
21,W2-4,2184
21,W2-4,2184
21,W2-A,2220
22,W2-B,1920
22,W2-6,1948
22,W2-6,1948
22,W2-6,2338
22,W2-6,2338
22,W2-A,2400
23,W2-B,2220
23,W2-5,2248
23,W2-5,2248
23,W2-5,2668
23,W2-5,2668
23,W2-A,2700
24,W2-B,2520
24,W2-6,2548
24,W2-6,2548
24,W2-6,2938
24,W2-6,2938
24,W2-A,3000
25,W2-B,2700
25,W2-4,2724
25,W2-4,2724
25,W2-4,3144
25,W2-4,3144
25,W2-A,3180
26,W2-B,3000
26,W2-6,3028
26,W2-6,3028
26,W2-6,3418
26,W2-6,3418
26,W2-A,3480
27,W2-B,3300
27,W2-4,3324
27,W2-4,3324
27,W2-4,3744
27,W2-4,3744
27,W2-A,3780
28,W2-B,3720
