name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,minTT,maxTT,headway
W8,0,0,1,0,1.24,4,60,1,11,1000,44,1,,5,6,3
,1,1,2,0,6,1,60,1,0,22,45,1,,4,5,3
,2,2,3,0,6,1,60,1,0,23,46,1,,4,5,3
W7,3,3,4,0,1.76,4,60,1,11,24,47,1,,5,6,3
,4,4,5,0,6,1,60,1,0,25,48,1,,4,5,3
,5,5,6,0,6,1,60,1,0,26,49,1,,4,5,3
W6,6,6,7,0,1.4,4,60,1,11,27,50,1,,5,6,3
,7,7,8,0,6,1,60,1,0,28,51,1,,4,5,3
,8,8,9,0,6,1,60,1,0,29,52,1,,4,5,3
W5,9,9,10,0,2.29,4,60,1,11,30,53,1,,5,6,3
,10,10,11,0,6,1,60,1,0,31,54,1,,4,5,3
,11,11,12,0,6,1,60,1,0,32,55,1,,4,5,3
W4,12,12,13,0,3.33,4,60,1,11,33,56,1,,8,9,3
,13,13,14,0,3.75,1,60,1,0,34,57,1,,2,3,3
,14,14,15,0,3.75,1,60,1,0,35,58,1,,2,3,3
W3,15,15,16,0,1.48,4,60,1,11,36,59,1,,8,9,3
,16,16,17,0,3.75,1,60,1,0,37,60,1,,2,3,3
,17,17,18,0,3.75,1,60,1,0,38,61,1,,2,3,3
W2,18,18,19,0,2.54,4,60,1,11,39,62,1,,8,9,3
,19,19,20,0,4.5,1,60,1,0,40,63,1,,3,4,3
,20,20,21,0,4.5,1,60,1,0,41,64,1,,3,4,3
W1,21,21,22,0,1.4,4,60,1,11,42,65,1,,8,9,3
,22,1,23,0,6,1,60,1,0,1,66,1,,4,5,3
,23,23,24,0,6,1,60,1,0,2,67,1,,4,5,3
W7,24,24,4,0,1.76,1,60,1,11,3,68,1,,1,1,3
,25,4,25,0,6,1,60,1,0,4,69,1,,4,5,3
,26,25,26,0,6,1,60,1,0,5,70,1,,4,5,3
W6,27,26,7,0,1.4,1,60,1,11,6,71,1,,1,1,3
,28,7,27,0,6,1,60,1,0,7,72,1,,4,5,3
,29,27,28,0,6,1,60,1,0,8,73,1,,4,5,3
W5,30,28,10,0,2.29,1,60,1,11,9,74,1,,1,1,3
,31,10,29,0,6,1,60,1,0,10,75,1,,4,5,3
,32,29,30,0,6,1,60,1,0,11,76,1,,4,5,3
W4,33,30,13,0,3.33,1,60,1,11,12,77,1,,1,1,3
,34,13,31,0,3.75,1,60,1,0,13,78,1,,2,3,3
,35,31,32,0,3.75,1,60,1,0,14,79,1,,2,3,3
W3,36,32,16,0,1.48,1,60,1,11,15,80,1,,1,1,3
,37,16,33,0,3.75,1,60,1,0,16,81,1,,2,3,3
,38,33,34,0,3.75,1,60,1,0,17,82,1,,2,3,3
W2,39,34,19,0,2.54,1,60,1,11,18,83,1,,1,1,3
,40,19,35,0,4.5,1,60,1,0,19,84,1,,3,4,3
,41,35,36,0,4.5,1,60,1,0,20,85,1,,3,4,3
W1,42,36,22,0,1.4,1,60,1,11,21,86,1,,1,1,3
,43,0,22,0,1000,1,60,1,12,1000,87,1,,1000,1000,3
W8,44,1,0,1,1.24,4,60,1,11,1000,0,1,,5,6,3
,45,2,1,1,6,1,60,1,0,66,1,1,,4,5,3
,46,3,2,1,6,1,60,1,0,67,2,1,,4,5,3
W7,47,4,3,1,1.76,4,60,1,11,68,3,1,,5,6,3
,48,5,4,1,6,1,60,1,0,69,4,1,,4,5,3
,49,6,5,1,6,1,60,1,0,70,5,1,,4,5,3
W6,50,7,6,1,1.4,4,60,1,11,71,6,1,,5,6,3
,51,8,7,1,6,1,60,1,0,72,7,1,,5,6,3
