name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W7-B,1863,0,,24,3,7,
W7-B,1864,1,,24,2,7,
,1879,2,,16,2,7,
,1880,3,,14,3,7,
W7-II,1882,4,,13,3,7,
W7-1,1883,5,,13,4,7,
,1884,6,,14,2,7,
W7-III,1885,7,,13,2,7,
W7-4,1886,8,,13,1,7,
W7-5,1887,9,,13,0,7,
W7-5,1888,10,,11,0,7,
W7-4,1889,11,,11,1,7,
W7-III,1890,12,,11,2,7,
W7-II,1891,13,,11,3,7,
W7-1,1892,14,,11,4,7,
,1893,15,,8,3,7,
,1894,16,,10,1,7,
,1896,17,,8,2,7,
W7-A,1911,18,,0,3,7,
W7-A,1912,19,,0,2,7,
W7-0,10001,20,,11,5,7,
W7-0,10002,21,,13,5,7,
,10003,22,,3,3,7,
,10004,23,,5,2,7,
,10005,24,,19,2,7,
,10006,25,,21,3,7,
