agent_no,node_name,node_time
0,W6-B,0
0,W6-5,18
0,W6-5,18
0,W6-5,258
0,W6-5,258
0,W6-A,300
1,W6-B,420
1,W6-5,438
1,W6-5,438
1,W6-5,678
1,W6-5,678
1,W6-A,720
2,W6-A,1560
2,W6-2,1581
2,W6-2,1581
2,W6-2,1821
2,W6-2,1821
2,W6-B,1860
3,W6-A,1740
3,W6-1,1761
3,W6-1,1761
3,W6-1,2001
3,W6-1,2001
3,W6-B,2040
4,W6-A,2160
4,W6-2,2181
4,W6-2,2181
4,W6-2,2421
4,W6-2,2421
4,W6-B,2460
5,W6-A,2340
5,W6-1,2361
5,W6-1,2361
5,W6-1,2601
5,W6-1,2601
5,W6-B,2640
0,W7-B,780
0,W7-5,798
0,W7-5,798
0,W7-5,1038
0,W7-5,1038
0,W7-A,1080
1,W7-B,1200
1,W7-III,1218
1,W7-III,1218
1,W7-III,1221
1,W7-III,1221
1,W7-A,1260
2,W7-A,780
2,W7-4,798
2,W7-4,798
2,W7-4,1023
2,W7-4,1023
2,W7-B,1080
3,W7-A,1200
3,W7-II,1215
3,W7-II,1215
3,W7-II,1218
3,W7-II,1218
3,W7-B,1260
4,W7-A,1380
4,W7-5,1398
4,W7-5,1398
4,W7-5,1623
4,W7-5,1623
4,W7-B,1680
5,W7-A,1800
5,W7-II,1815
5,W7-II,1815
5,W7-II,1818
5,W7-II,1818
5,W7-B,1860
0,W8-B,1560
0,W8-5,1569
0,W8-5,1569
0,W8-5,1809
0,W8-5,1809
0,W8-A,1860
1,W8-B,1800
1,W8-3,1812
1,W8-3,1812
1,W8-3,2052
1,W8-3,2052
1,W8-A,2100
2,W8-A,0
2,W8-II,9
2,W8-II,9
2,W8-II,249
2,W8-II,249
2,W8-B,300
3,W8-A,420
3,W8-II,429
3,W8-II,429
3,W8-II,669
3,W8-II,669
3,W8-B,720
4,W8-A,600
4,W8-1,609
4,W8-1,609
4,W8-1,849
4,W8-1,849
4,W8-B,900
5,W8-A,1020
5,W8-II,1029
5,W8-II,1029
5,W8-II,1269
5,W8-II,1269
5,W8-B,1320
