agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,2700
1,W6-1,2721
1,W6-1,2721
1,W6-1,3201
1,W6-1,3201
1,W6-B,3240
2,W6-A,3180
2,W6-2,3200
2,W6-2,3200
2,W6-2,3680
2,W6-2,3680
2,W6-B,3720
3,W6-A,3540
3,W6-1,3561
3,W6-1,3561
3,W6-1,4041
3,W6-1,4041
3,W6-B,4080
4,W6-A,4140
4,W6-2,4160
4,W6-2,4160
4,W6-2,4640
4,W6-2,4640
4,W6-B,4680
5,W6-B,1140
5,W6-5,1161
5,W6-5,1161
5,W6-5,1641
5,W6-5,1641
5,W6-A,1680
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1200
1,W7-4,1224
1,W7-4,1224
1,W7-4,1704
1,W7-4,1704
1,W7-B,1740
2,W7-A,1680
2,W7-1,1703
2,W7-1,1703
2,W7-1,2183
2,W7-1,2183
2,W7-B,2220
3,W7-A,2040
3,W7-4,2064
3,W7-4,2064
3,W7-4,2544
3,W7-4,2544
3,W7-B,2580
4,W7-A,2640
4,W7-1,2663
4,W7-1,2663
4,W7-1,3143
4,W7-1,3143
4,W7-B,3180
5,W7-B,2640
5,W7-4,2669
5,W7-4,2669
5,W7-4,3149
5,W7-4,3149
5,W7-A,3180
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,180
1,W8-1,193
1,W8-1,193
1,W8-1,673
1,W8-1,673
1,W8-B,720
2,W8-A,660
2,W8-II,672
2,W8-II,672
2,W8-II,1152
2,W8-II,1152
2,W8-B,1200
3,W8-A,1020
3,W8-1,1033
3,W8-1,1033
3,W8-1,1513
3,W8-1,1513
3,W8-B,1560
4,W8-A,1620
4,W8-II,1632
4,W8-II,1632
4,W8-II,2112
4,W8-II,2112
4,W8-B,2160
5,W8-B,3660
5,W8-5,3673
5,W8-5,3673
5,W8-5,4153
5,W8-5,4153
5,W8-A,4200
