name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W6-B,1817,0,,17,17,17,
W6-B,1818,1,,17,17,17,
,1819,2,,16,16,16,
,1820,3,,16,16,16,
,1821,4,,15,15,15,
,1822,5,,14,14,14,
,1823,6,,13,13,13,
,1824,7,,12,12,12,
,1825,8,,12,12,12,
,1826,9,,11,11,11,
,1827,10,,10,10,10,
,1828,11,,9,9,9,
W6-III,1829,12,,8,8,8,
W6-2,1830,13,,8,8,8,
W6-1,1831,14,,8,8,8,
,1832,15,,11,11,11,
W6-IV,1833,16,,8,8,8,
W6-5,1834,17,,8,8,8,
W6-IV,1835,18,,8,8,8,
W6-5,1836,19,,8,8,8,
W6-III,1837,20,,8,8,8,
W6-2,1838,21,,8,8,8,
W6-1,1839,22,,8,8,8,
,1840,23,,7,7,7,
,1841,24,,6,6,6,
,1842,25,,5,5,5,
,1843,26,,5,5,5,
,1844,27,,4,4,4,
,1845,28,,3,3,3,
,1846,29,,3,3,3,
,1847,30,,2,2,2,
,1848,31,,2,2,2,
,1849,32,,1,1,1,
,1850,33,,1,1,1,
W6-A,1851,34,,0,0,0,
W6-A,1852,35,,0,0,0,
