agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,2700
1,W6-1,2721
1,W6-1,2721
1,W6-1,3201
1,W6-1,3201
1,W6-B,3240
2,W6-B,480
2,W6-5,501
2,W6-5,501
2,W6-5,981
2,W6-5,981
2,W6-A,1020
3,W6-A,3120
3,W6-2,3145
3,W6-2,3145
3,W6-2,3625
3,W6-2,3625
3,W6-B,3660
4,W6-A,3840
4,W6-2,3860
4,W6-2,3860
4,W6-2,4340
4,W6-2,4340
4,W6-B,4380
5,W6-A,4080
5,W6-1,4101
5,W6-1,4101
5,W6-1,4581
5,W6-1,4581
5,W6-B,4620
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,180
1,W8-1,193
1,W8-1,193
1,W8-1,673
1,W8-1,673
1,W8-B,720
2,W8-B,3000
2,W8-5,3013
2,W8-5,3013
2,W8-5,3493
2,W8-5,3493
2,W8-A,3540
4,W8-A,1320
4,W8-II,1332
4,W8-II,1332
4,W8-II,1812
4,W8-II,1812
4,W8-B,1860
5,W8-A,1560
5,W8-1,1573
5,W8-1,1573
5,W8-1,2053
5,W8-1,2053
5,W8-B,2100
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1200
1,W7-4,1224
1,W7-4,1224
1,W7-4,1704
1,W7-4,1704
1,W7-B,1740
2,W7-B,1980
2,W7-4,2005
2,W7-4,2005
2,W7-4,2485
2,W7-4,2485
2,W7-A,2520
3,W7-A,1620
3,W7-1,1648
3,W7-1,1648
3,W7-1,2128
3,W7-1,2128
3,W7-B,2160
4,W7-A,2340
4,W7-1,2363
4,W7-1,2363
4,W7-1,2843
4,W7-1,2843
4,W7-B,2880
5,W7-A,2580
5,W7-4,2610
5,W7-4,2610
5,W7-4,3090
5,W7-4,3090
5,W7-B,3120
