agent_no,node_name,node_time
0,W8-A,402
0,W8-1,411
0,W8-1,411
0,W8-1,651
0,W8-1,651
0,W8-B,660
0,W8-B,660
0,W7-A,1140
0,W7-A,1140
0,W7-B,1416
0,W7-4,1395
0,W7-4,1170
0,W7-4,1395
0,W7-4,1170
0,W7-B,1416
0,W6-A,1896
0,W6-A,1896
0,W6-1,1917
0,W6-1,1917
0,W6-1,2157
0,W6-1,2157
0,W6-B,2178
1,W8-A,117
1,W8-II,126
1,W8-II,126
1,W8-II,366
1,W8-II,366
1,W8-B,375
1,W8-B,375
1,W7-A,855
1,W7-A,855
1,W7-B,1131
1,W7-4,1110
1,W7-4,885
1,W7-4,1110
1,W7-4,885
1,W7-B,1131
1,W6-A,1611
1,W6-A,1611
1,W6-2,1632
1,W6-2,1632
1,W6-2,1872
1,W6-2,1872
1,W6-B,1893
2,W8-A,2295
2,W8-1,2304
2,W8-1,2304
2,W8-1,2544
2,W8-1,2544
2,W8-B,2553
2,W8-B,2553
2,W7-A,3033
2,W7-A,3033
2,W7-B,3309
2,W7-4,3288
2,W7-4,3063
2,W7-4,3288
2,W7-4,3063
2,W7-B,3309
2,W6-A,3789
2,W6-A,3789
2,W6-1,3810
2,W6-1,3810
2,W6-1,4050
2,W6-1,4050
2,W6-B,4071
3,W6-B,897
3,W6-5,915
3,W6-5,915
3,W6-5,1155
3,W6-5,1155
3,W6-A,1173
3,W6-A,1173
3,W7-B,1653
3,W7-B,1653
3,W7-4,1668
3,W7-4,1668
3,W7-4,1908
3,W7-4,1908
3,W7-A,1923
3,W7-A,1923
3,W8-B,2403
3,W8-B,2403
3,W8-5,2412
3,W8-5,2412
3,W8-5,2652
3,W8-5,2652
3,W8-A,2661
4,W6-B,1266
4,W6-5,1284
4,W6-5,1284
4,W6-5,1524
4,W6-5,1524
4,W6-A,1542
4,W6-A,1542
4,W7-B,2022
4,W7-B,2022
4,W7-4,2037
4,W7-4,2037
4,W7-4,2277
4,W7-4,2277
4,W7-A,2292
4,W7-A,2292
4,W8-B,2772
4,W8-B,2772
4,W8-5,2781
4,W8-5,2781
4,W8-5,3021
4,W8-5,3021
4,W8-A,3030
5,W6-B,1692
5,W6-5,1710
5,W6-5,1710
5,W6-5,1950
5,W6-5,1950
5,W6-A,1968
5,W6-A,1968
5,W7-B,2448
5,W7-B,2448
5,W7-4,2463
5,W7-4,2463
5,W7-4,2703
5,W7-4,2703
5,W7-A,2718
5,W7-A,2718
5,W8-B,3198
5,W8-B,3198
5,W8-5,3207
5,W8-5,3207
5,W8-5,3447
5,W8-5,3447
5,W8-A,3456
